,movie_title,title_year,actor_1_name,actor_2_name,actor_3_name,director_name,title_year
110,The Chronicles of Narnia: The Voyage of the Dawn Treader ,2010.0,Bruce Spence,Shane Rangi,Laura Brent,Michael Apted,2010.0
111,Pearl Harbor ,2001.0,Jennifer Garner,Jaime King,Mako,Michael Bay,2001.0
112,Transformers ,2007.0,Zack Ward,Michael O'Neill,Kevin Dunn,Michael Bay,2007.0
113,Alexander ,2004.0,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Oliver Stone,2004.0
114,Harry Potter and the Order of the Phoenix ,2007.0,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,David Yates,2007.0
115,Harry Potter and the Goblet of Fire ,2005.0,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Mike Newell,2005.0
116,Hancock ,2008.0,Will Smith,Charlize Theron,Eddie Marsan,Peter Berg,2008.0
117,I Am Legend ,2007.0,Will Smith,Alice Braga,Willow Smith,Francis Lawrence,2007.0
118,Charlie and the Chocolate Factory ,2005.0,Johnny Depp,Christopher Lee,David Kelly,Tim Burton,2005.0
119,Ratatouille ,2007.0,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Brad Bird,2007.0
120,Batman Begins ,2005.0,Christian Bale,Liam Neeson,Morgan Freeman,Christopher Nolan,2005.0
121,Madagascar: Escape 2 Africa ,2008.0,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Eric Darnell,2008.0
122,Night at the Museum: Battle of the Smithsonian ,2009.0,Robin Williams,Rami Malek,Steve Coogan,Shawn Levy,2009.0
123,X-Men Origins: Wolverine ,2009.0,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Gavin Hood,2009.0
124,The Matrix Revolutions ,2003.0,Essie Davis,Collin Chou,Nona Gaye,Lana Wachowski,2003.0
125,Frozen ,2013.0,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Chris Buck,2013.0
126,The Matrix Reloaded ,2003.0,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Lana Wachowski,2003.0
127,Thor: The Dark World ,2013.0,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Alan Taylor,2013.0
128,Mad Max: Fury Road ,2015.0,Tom Hardy,Charlize Theron,Zoë Kravitz,George Miller,2015.0
129,Angels & Demons ,2009.0,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Ron Howard,2009.0
130,Thor ,2011.0,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Kenneth Branagh,2011.0
131,Bolt ,2008.0,Chloë Grace Moretz,Diedrich Bader,James Lipton,Byron Howard,2008.0
132,G-Force ,2009.0,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,Hoyt Yeatman,2009.0
133,Wrath of the Titans ,2012.0,Liam Neeson,Edgar Ramírez,Lily James,Jonathan Liebesman,2012.0
134,Dark Shadows ,2012.0,Johnny Depp,Chloë Grace Moretz,Christopher Lee,Tim Burton,2012.0
135,Mission: Impossible - Rogue Nation ,2015.0,Tom Cruise,Jeremy Renner,Sean Harris,Christopher McQuarrie,2015.0
136,The Wolfman ,2010.0,Anthony Hopkins,Simon Merrells,Art Malik,Joe Johnston,2010.0
138,Bee Movie ,2007.0,Matthew Broderick,Oprah Winfrey,Rip Torn,Steve Hickner,2007.0
139,Kung Fu Panda 2 ,2011.0,Angelina Jolie Pitt,Gary Oldman,Mike Bell,Jennifer Yuh Nelson,2011.0
140,The Last Airbender ,2010.0,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,M. Night Shyamalan,2010.0
141,Mission: Impossible III ,2006.0,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,J.J. Abrams,2006.0
142,White House Down ,2013.0,Channing Tatum,Jake Weber,Matt Craven,Roland Emmerich,2013.0
143,Mars Needs Moms ,2011.0,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,Simon Wells,2011.0
144,Flushed Away ,2006.0,Hugh Jackman,Kate Winslet,David Suchet,David Bowers,2006.0
146,Mr. Peabody & Sherman ,2014.0,Ty Burrell,Zach Callison,Karan Brar,Rob Minkoff,2014.0
147,Troy ,2004.0,Brad Pitt,Orlando Bloom,Julian Glover,Wolfgang Petersen,2004.0
148,Madagascar 3: Europe's Most Wanted ,2012.0,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,Eric Darnell,2012.0
149,Die Another Day ,2002.0,Toby Stephens,Colin Salmon,Rick Yune,Lee Tamahori,2002.0
151,Armageddon ,1998.0,Bruce Willis,Steve Buscemi,Will Patton,Michael Bay,1998.0
152,Men in Black II ,2002.0,Will Smith,Rosario Dawson,Rip Torn,Barry Sonnenfeld,2002.0
153,Beowulf ,2007.0,Robin Wright,Anthony Hopkins,Sebastian Roché,Robert Zemeckis,2007.0
154,Kung Fu Panda 3 ,2016.0,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,Alessandro Carloni,2016.0
155,Mission: Impossible - Ghost Protocol ,2011.0,Tom Cruise,Jeremy Renner,Michael Nyqvist,Brad Bird,2011.0
156,Rise of the Guardians ,2012.0,Hugh Jackman,Kamil McFadden,Khamani Griffin,Peter Ramsey,2012.0
157,Fun with Dick and Jane ,2005.0,John Michael Higgins,Richard Burgi,David Herman,Dean Parisot,2005.0
158,The Last Samurai ,2003.0,Tom Cruise,Tony Goldwyn,Chad Lindberg,Edward Zwick,2003.0
160,Star Trek ,2009.0,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,J.J. Abrams,2009.0
161,Spider-Man ,2002.0,J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,2002.0
162,How to Train Your Dragon 2 ,2014.0,Gerard Butler,Djimon Hounsou,America Ferrera,Dean DeBlois,2014.0
163,Gods of Egypt ,2016.0,Gerard Butler,Elodie Yung,Bryan Brown,Alex Proyas,2016.0
164,Stealth ,2005.0,Sam Shepard,Joe Morton,Richard Roxburgh,Rob Cohen,2005.0
165,Watchmen ,2009.0,Matt Frewer,Billy Crudup,Stephen McHattie,Zack Snyder,2009.0
166,Lethal Weapon 4 ,1998.0,Jet Li,Rene Russo,Darlene Love,Richard Donner,1998.0
167,Hulk ,2003.0,Kevin Rankin,Regi Davis,Celia Weston,Ang Lee,2003.0
168,G.I. Joe: Retaliation ,2013.0,Channing Tatum,Dwayne Johnson,Elodie Yung,Jon M. Chu,2013.0
169,Sahara ,2005.0,Matthew McConaughey,Rainn Wilson,Delroy Lindo,Breck Eisner,2005.0
170,Final Fantasy: The Spirits Within ,2001.0,Steve Buscemi,Ming-Na Wen,Jean Simmons,Hironobu Sakaguchi,2001.0
171,Captain America: The First Avenger ,2011.0,Chris Evans,Dominic Cooper,Hayley Atwell,Joe Johnston,2011.0
172,The World Is Not Enough ,1999.0,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,Michael Apted,1999.0
173,Master and Commander: The Far Side of the World ,2003.0,James D'Arcy,Lee Ingleby,David Threlfall,Peter Weir,2003.0
174,The Twilight Saga: Breaking Dawn - Part 2 ,2012.0,Robert Pattinson,Kristen Stewart,Taylor Lautner,Bill Condon,2012.0
175,Happy Feet 2 ,2011.0,Robin Williams,Brad Pitt,Common,George Miller,2011.0
176,The Incredible Hulk ,2008.0,Ty Burrell,Peter Mensah,William Hurt,Louis Leterrier,2008.0
177,Miami Vice             ,,Don Johnson,Philip Michael Thomas,John Diehl,,
178,The BFG ,2016.0,Mark Rylance,Penelope Wilton,Rafe Spall,Steven Spielberg,2016.0
179,The Revenant ,2015.0,Leonardo DiCaprio,Tom Hardy,Lukas Haas,Alejandro G. Iñárritu,2015.0
180,Turbo ,2013.0,Ryan Reynolds,Snoop Dogg,Ben Schwartz,David Soren,2013.0
181,Rango ,2011.0,Johnny Depp,Ray Winstone,Stephen Root,Gore Verbinski,2011.0
182,Penguins of Madagascar ,2014.0,Benedict Cumberbatch,Annet Mahendru,Andy Richter,Eric Darnell,2014.0
183,The Bourne Ultimatum ,2007.0,Matt Damon,Edgar Ramírez,Albert Finney,Paul Greengrass,2007.0
184,Kung Fu Panda ,2008.0,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,Mark Osborne,2008.0
185,Ant-Man ,2015.0,Judy Greer,Hayley Atwell,T.I.,Peyton Reed,2015.0
186,The Hunger Games: Catching Fire ,2013.0,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,Francis Lawrence,2013.0
189,War of the Worlds ,2005.0,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,Steven Spielberg,2005.0
190,Bad Boys II ,2003.0,Will Smith,Henry Rollins,Jordi Mollà,Michael Bay,2003.0
191,Puss in Boots ,2011.0,Salma Hayek,Constance Marie,Amy Sedaris,Chris Miller,2011.0
192,Salt ,2010.0,Angelina Jolie Pitt,Andre Braugher,August Diehl,Phillip Noyce,2010.0
193,Noah ,2014.0,Anthony Hopkins,Emma Watson,Logan Lerman,Darren Aronofsky,2014.0
194,The Adventures of Tintin ,2011.0,Toby Jones,Mackenzie Crook,Tony Curran,Steven Spielberg,2011.0
195,Harry Potter and the Prisoner of Azkaban ,2004.0,Daniel Radcliffe,Gary Oldman,Rupert Grint,Alfonso Cuarón,2004.0
196,Australia ,2008.0,Essie Davis,Bryan Brown,Eddie Baroo,Baz Luhrmann,2008.0
197,After Earth ,2013.0,Will Smith,Zoë Kravitz,Glenn Morshower,M. Night Shyamalan,2013.0
198,Dinosaur ,2000.0,Alfre Woodard,D.B. Sweeney,Della Reese,Eric Leighton,2000.0
199,Harry Potter and the Deathly Hallows: Part II ,2011.0,Rupert Grint,Dave Legeno,Ralph Ineson,Matt Birch,2011.0
200,Night at the Museum: Secret of the Tomb ,2014.0,Robin Williams,Rami Malek,Steve Coogan,Shawn Levy,2014.0
201,Megamind ,2010.0,J.K. Simmons,Brad Pitt,Will Ferrell,Tom McGrath,2010.0
202,Harry Potter and the Sorcerer's Stone ,2001.0,Daniel Radcliffe,Fiona Shaw,Verne Troyer,Chris Columbus,2001.0
203,R.I.P.D. ,2013.0,Ryan Reynolds,Jeff Bridges,Stephanie Szostak,Robert Schwentke,2013.0
204,Godzilla Resurgence ,2016.0,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Hideaki Anno,2016.0
205,Pirates of the Caribbean: The Curse of the Black Pearl ,2003.0,Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,2003.0
206,Harry Potter and the Deathly Hallows: Part I ,2010.0,Rupert Grint,Toby Jones,Alfred Enoch,Matt Birch,2010.0
207,The Hunger Games: Mockingjay - Part 1 ,2014.0,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Francis Lawrence,2014.0
208,The Da Vinci Code ,2006.0,Tom Hanks,Seth Gabel,Jürgen Prochnow,Ron Howard,2006.0
209,Rio 2 ,2014.0,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,Carlos Saldanha,2014.0
210,X-Men 2 ,2003.0,Hugh Jackman,Bruce Davison,Aaron Stanford,Bryan Singer,2003.0
211,Fast Five ,2011.0,Paul Walker,Vin Diesel,Dwayne Johnson,Justin Lin,2011.0
212,Sherlock Holmes: A Game of Shadows ,2011.0,Robert Downey Jr.,Eddie Marsan,Paul Anderson,Guy Ritchie,2011.0
214,Total Recall ,1990.0,Ronny Cox,Rachel Ticotin,Marshall Bell,Paul Verhoeven,1990.0
215,The 13th Warrior ,1999.0,Tony Curran,Vladimir Kulich,Clive Russell,John McTiernan,1999.0
216,The Bourne Legacy ,2012.0,Jeremy Renner,Scott Glenn,Stacy Keach,Tony Gilroy,2012.0
217,Batman & Robin ,1997.0,Michael Gough,Vivica A. Fox,John Glover,Joel Schumacher,1997.0
218,How the Grinch Stole Christmas ,2000.0,Clint Howard,T.J. Thyne,Molly Shannon,Ron Howard,2000.0
219,The Day After Tomorrow ,2004.0,Jake Gyllenhaal,Dennis Quaid,Sela Ward,Roland Emmerich,2004.0
220,Mission: Impossible II ,2000.0,Tom Cruise,Dougray Scott,Richard Roxburgh,John Woo,2000.0
221,The Perfect Storm ,2000.0,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,Wolfgang Petersen,2000.0
222,Fantastic 4: Rise of the Silver Surfer ,2007.0,Chris Evans,Ioan Gruffudd,Andre Braugher,Tim Story,2007.0
223,Life of Pi ,2012.0,Suraj Sharma,Rafe Spall,Tabu,Ang Lee,2012.0
224,Ghost Rider ,2007.0,Nicolas Cage,Matt Long,Peter Fonda,Mark Steven Johnson,2007.0
225,Jason Bourne ,2016.0,Matt Damon,Riz Ahmed,Ato Essandoh,Paul Greengrass,2016.0
226,Charlie's Angels: Full Throttle ,2003.0,Demi Moore,Bernie Mac,Justin Theroux,McG,2003.0
227,Prometheus ,2012.0,Michael Fassbender,Charlize Theron,Sean Harris,Ridley Scott,2012.0
228,Stuart Little 2 ,2002.0,Nathan Lane,Brad Garrett,Melanie Griffith,Rob Minkoff,2002.0
229,Elysium ,2013.0,Matt Damon,Sharlto Copley,Alice Braga,Neill Blomkamp,2013.0
230,The Chronicles of Riddick ,2004.0,Vin Diesel,Alexa Davalos,Christina Cox,David Twohy,2004.0
232,Speed Racer ,2008.0,Scott Porter,Kick Gurry,Nicholas Elia,Lana Wachowski,2008.0
233,How Do You Know ,2010.0,Shelley Conn,Domenick Lombardozzi,Teyonah Parris,James L. Brooks,2010.0
234,Knight and Day ,2010.0,Tom Cruise,Marc Blucas,Jordi Mollà,James Mangold,2010.0
235,Oblivion ,2013.0,Morgan Freeman,Tom Cruise,Zoë Bell,Joseph Kosinski,2013.0
236,Star Wars: Episode III - Revenge of the Sith ,2005.0,Natalie Portman,Christopher Lee,Hayden Christensen,George Lucas,2005.0
237,Star Wars: Episode II - Attack of the Clones ,2002.0,Natalie Portman,Christopher Lee,Hayden Christensen,George Lucas,2002.0
238,"Monsters, Inc. ",2001.0,Steve Buscemi,John Ratzenberger,James Coburn,Pete Docter,2001.0
239,The Wolverine ,2013.0,Hugh Jackman,Tao Okamoto,Rila Fukushima,James Mangold,2013.0
240,Star Wars: Episode I - The Phantom Menace ,1999.0,Natalie Portman,Liam Neeson,Ian McDiarmid,George Lucas,1999.0
241,The Croods ,2013.0,Ryan Reynolds,Emma Stone,Nicolas Cage,Kirk De Micco,2013.0
242,Asterix at the Olympic Games ,2008.0,Alain Delon,Santiago Segura,Vanessa Hessler,Frédéric Forestier,2008.0
243,Windtalkers ,2002.0,Nicolas Cage,Roger Willie,Noah Emmerich,John Woo,2002.0
244,The Huntsman: Winter's War ,2016.0,Chris Hemsworth,Sam Claflin,Charlize Theron,Cedric Nicolas-Troyan,2016.0
246,Gravity ,2013.0,Phaldut Sharma,Basher Savage,Amy Warren,Alfonso Cuarón,2013.0
247,Dante's Peak ,1997.0,Jamie Renée Smith,Grant Heslov,Tzi Ma,Roger Donaldson,1997.0
248,Teenage Mutant Ninja Turtles: Out of the Shadows ,2016.0,Stephen Amell,Noel Fisher,Brad Garrett,Dave Green,2016.0
249,Fantastic Four ,2015.0,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker,Josh Trank,2015.0
250,Night at the Museum ,2006.0,Robin Williams,Rami Malek,Steve Coogan,Shawn Levy,2006.0
251,San Andreas ,2015.0,Dwayne Johnson,Ioan Gruffudd,Archie Panjabi,Brad Peyton,2015.0
252,Tomorrow Never Dies ,1997.0,Vincent Schiavelli,Colin Salmon,Joe Don Baker,Roger Spottiswoode,1997.0
253,The Patriot ,2000.0,Heath Ledger,Adam Baldwin,Tom Wilkinson,Roland Emmerich,2000.0
254,Ocean's Twelve ,2004.0,Brad Pitt,Julia Roberts,Mini Anden,Steven Soderbergh,2004.0
255,Mr. & Mrs. Smith ,2005.0,Brad Pitt,Angelina Jolie Pitt,Stephanie March,Doug Liman,2005.0
256,Insurgent ,2015.0,Kate Winslet,Theo James,Mekhi Phifer,Robert Schwentke,2015.0
257,The Aviator ,2004.0,Leonardo DiCaprio,Adam Scott,Frances Conroy,Martin Scorsese,2004.0
258,Gulliver's Travels ,2010.0,James Corden,Catherine Tate,Olly Alexander,Rob Letterman,2010.0
259,The Green Hornet ,2011.0,Christoph Waltz,Tom Wilkinson,Chad L. Coleman,Michel Gondry,2011.0
260,The A-Team             ,,George Peppard,Dirk Benedict,Dwight Schultz,,
